date,method,t_df,ewma_sigma
2025-08-20,Monte Carlo (Student-t),5.0705,
2025-08-21,Parametric (t + EWMA),8.3759,0.0071
2025-08-21,Monte Carlo (Student-t),5.0695,
2025-08-22,Parametric (t + EWMA),8.3859,0.007
2025-08-22,Monte Carlo (Student-t),5.0697,
2025-08-25,Parametric (t + EWMA),8.3932,0.0078
2025-08-25,Monte Carlo (Student-t),5.064,
2025-08-26,Parametric (t + EWMA),8.38,0.0076
2025-08-26,Monte Carlo (Student-t),5.0591,
2025-08-27,Parametric (t + EWMA),8.3729,0.0074
2025-08-27,Monte Carlo (Student-t),5.0581,
2025-08-28,Parametric (t + EWMA),8.3621,0.0072
2025-08-28,Monte Carlo (Student-t),5.0568,
2025-08-29,Parametric (t + EWMA),8.3523,0.0071
2025-08-29,Monte Carlo (Student-t),5.0534,
2025-09-02,Parametric (t + EWMA),8.3868,0.007
2025-09-02,Monte Carlo (Student-t),5.0544,
2025-09-03,Parametric (t + EWMA),8.375,0.007
2025-09-03,Monte Carlo (Student-t),5.0499,
2025-09-04,Parametric (t + EWMA),8.3848,0.0071
2025-09-04,Monte Carlo (Student-t),5.0495,
2025-09-05,Parametric (t + EWMA),8.394,0.0072
2025-09-05,Monte Carlo (Student-t),5.0492,
2025-09-08,Parametric (t + EWMA),8.3615,0.007
2025-09-08,Monte Carlo (Student-t),5.0393,
2025-09-09,Parametric (t + EWMA),8.3602,0.0068
2025-09-09,Monte Carlo (Student-t),5.0387,
2025-09-10,Parametric (t + EWMA),8.3598,0.0067
2025-09-10,Monte Carlo (Student-t),5.0375,
2025-09-11,Parametric (t + EWMA),8.3507,0.0065
2025-09-11,Monte Carlo (Student-t),5.0363,
2025-09-12,Parametric (t + EWMA),8.3634,0.0067
2025-09-12,Monte Carlo (Student-t),5.036,
2025-09-15,Parametric (t + EWMA),8.3459,0.0065
2025-09-15,Monte Carlo (Student-t),5.0309,
2025-09-16,Parametric (t + EWMA),8.3573,0.0066
2025-09-16,Monte Carlo (Student-t),5.0309,
2025-09-17,Parametric (t + EWMA),8.3551,0.0064
2025-09-17,Monte Carlo (Student-t),5.0308,
2025-09-18,Parametric (t + EWMA),8.3456,0.0062
2025-09-18,Monte Carlo (Student-t),5.0296,
2025-09-19,Parametric (t + EWMA),8.3364,0.006
2025-09-19,Monte Carlo (Student-t),5.0284,
2025-09-22,Parametric (t + EWMA),8.3368,0.0061
2025-09-22,Monte Carlo (Student-t),5.0261,
2025-09-23,Parametric (t + EWMA),8.3503,0.0061
2025-09-23,Monte Carlo (Student-t),5.0265,
2025-09-24,Parametric (t + EWMA),8.3882,0.0062
2025-09-24,Monte Carlo (Student-t),5.0274,
2025-09-25,Parametric (t + EWMA),8.3823,0.006
2025-09-25,Monte Carlo (Student-t),5.0263,
