date,method,confidence,window_start,window_days,var_usd,es_usd,actual_pnl_usd,breach
2025-10-20,Parametric (Normal),0.99,2020-11-20,1232,28840251.198960774,33188014.713040054,11322586.899475535,False
2025-10-20,Monte Carlo (Student-t),0.95,2020-11-20,1232,18069079.44676929,27969092.365061868,11322586.899475535,False
2025-10-20,Monte Carlo (Student-t),0.97,2020-11-20,1232,22373612.816856984,33251983.7907286,11322586.899475535,False
2025-10-20,Monte Carlo (Student-t),0.99,2020-11-20,1232,33231572.3190797,46153577.36426758,11322586.899475535,False
2025-10-21,Historical,0.95,2020-11-23,1232,19364995.884855352,29018097.928979862,-264329.5633121493,False
2025-10-21,Historical,0.97,2020-11-23,1232,24193627.462494124,33860587.16723381,-264329.5633121493,False
2025-10-21,Historical,0.99,2020-11-23,1232,35095985.25923014,43352150.08889325,-264329.5633121493,False
2025-10-21,Parametric (Normal),0.95,2020-11-23,1232,20078559.50583928,25439654.740542088,-264329.5633121493,False
2025-10-21,Parametric (Normal),0.97,2020-11-23,1232,23105647.97904952,28074305.275838844,-264329.5633121493,False
2025-10-21,Parametric (Normal),0.99,2020-11-23,1232,28822068.636564147,33169693.001211636,-264329.5633121493,False
2025-10-21,Monte Carlo (Student-t),0.95,2020-11-23,1232,18141674.7644023,27416345.207016755,-264329.5633121493,False
2025-10-21,Monte Carlo (Student-t),0.97,2020-11-23,1232,22545770.592935644,32359348.097124577,-264329.5633121493,False
2025-10-21,Monte Carlo (Student-t),0.99,2020-11-23,1232,31233653.53938757,45190848.21006833,-264329.5633121493,False
2025-10-22,Historical,0.95,2020-11-23,1233,19362128.95748695,29018097.928979862,-3803200.9262031345,False
2025-10-22,Historical,0.97,2020-11-23,1233,24185527.303365447,33860587.16723381,-3803200.9262031345,False
2025-10-22,Historical,0.99,2020-11-23,1233,35094824.728298314,43352150.08889325,-3803200.9262031345,False
2025-10-22,Parametric (Normal),0.95,2020-11-23,1233,20071125.02763814,25430066.00765959,-3803200.9262031345,False
2025-10-22,Parametric (Normal),0.97,2020-11-23,1233,23096997.122621763,28063657.858489666,-3803200.9262031345,False
2025-10-22,Parametric (Normal),0.99,2020-11-23,1233,28811120.744657088,33156998.09871621,-3803200.9262031345,False
2025-10-22,Monte Carlo (Student-t),0.95,2020-11-23,1233,18022206.814532015,28588244.46179707,-3803200.9262031345,False
2025-10-22,Monte Carlo (Student-t),0.97,2020-11-23,1233,22689417.30875654,34250383.2232353,-3803200.9262031345,False
2025-10-22,Monte Carlo (Student-t),0.99,2020-11-23,1233,33282489.902974278,48781361.593850754,-3803200.9262031345,False
2025-10-23,Historical,0.95,2020-11-23,1234,19359262.030118562,29018097.928979862,4891246.3858997915,False
2025-10-23,Historical,0.97,2020-11-23,1234,24177427.144236766,33860587.16723381,4891246.3858997915,False
2025-10-23,Historical,0.99,2020-11-23,1234,35093664.1973665,43352150.08889325,4891246.3858997915,False
2025-10-23,Parametric (Normal),0.95,2020-11-23,1234,20067691.87850396,25424766.995154582,4891246.3858997915,False
2025-10-23,Parametric (Normal),0.97,2020-11-23,1234,23092510.432512254,28057441.888215102,4891246.3858997915,False
2025-10-23,Parametric (Normal),0.99,2020-11-23,1234,28804644.524526156,33149008.741306968,4891246.3858997915,False
2025-10-23,Monte Carlo (Student-t),0.95,2020-11-23,1234,17625067.825903572,28042892.074505076,4891246.3858997915,False
2025-10-23,Monte Carlo (Student-t),0.97,2020-11-23,1234,21740307.032943323,33729182.95954645,4891246.3858997915,False
2025-10-23,Monte Carlo (Student-t),0.99,2020-11-23,1234,32555815.175122052,49102179.63449929,4891246.3858997915,False
